Classe,Caractéristique Couleur,Caractéristique LPB,Caractéristique Fréquentielle
0,23.0,"[0.00708008 0.01808519 0.00948392 0.04403921 0.07848182 0.17335862
 0.03371019 0.02899639 0.57504507 0.0317195  0.01292067 0.01645132
 0.01547476 0.04912861 0.09998498 0.18960337 0.03493089 0.03387921
 0.51006611 0.0375601  0.01352163 0.02043269 0.01802885 0.06280048
 0.11808894 0.21364183 0.0453726  0.04146635 0.43569712 0.03094952]","[ 8.33065826e-04  9.07671104e-08  2.30120084e-10  1.24811447e-11
  3.71197293e-22  2.29099836e-16 -5.56448583e-22]"
0,26.0,"[0.01192533 0.03224534 0.01643254 0.06783353 0.11497145 0.18274865
 0.05649038 0.04969201 0.41120793 0.05645282 0.02651743 0.03853666
 0.03215144 0.07451923 0.1000601  0.18960337 0.0539363  0.06002103
 0.34855769 0.07609675 0.01802885 0.03305288 0.03876202 0.11418269
 0.11598558 0.21274038 0.04777644 0.05859375 0.27013221 0.09074519]","[ 7.17406335e-04  8.56435399e-09  6.62376713e-12  5.64793906e-12
 -3.17310303e-23 -1.33582461e-16 -1.36569237e-23]"
0,26.0,"[0.01825421 0.03898738 0.01928711 0.05910081 0.09170297 0.15570538
 0.05213341 0.05081881 0.45156626 0.06244366 0.02839543 0.03695913
 0.03140024 0.06693209 0.09157151 0.15745192 0.04642428 0.0554387
 0.40046575 0.08496094 0.01923077 0.02824519 0.03455529 0.10456731
 0.11268029 0.23106971 0.03515625 0.05048077 0.32512019 0.05889423]","[ 7.24683650e-04  9.79533903e-09  8.39686531e-12  6.85009407e-12
 -4.22371773e-23 -1.48389054e-16 -3.02497133e-23]"
0,29.0,"[0.01231971 0.03355995 0.01893029 0.05833083 0.1025015  0.15750826
 0.04741962 0.04080904 0.47205529 0.0565655  0.02809495 0.0386869
 0.02539062 0.0476262  0.08578726 0.14648438 0.04274339 0.04905349
 0.44824219 0.08789062 0.03125    0.0375601  0.0249399  0.06370192
 0.08984375 0.1781851  0.04477163 0.05348558 0.39272837 0.08353365]","[ 7.37196069e-04  2.87819965e-08  1.90371407e-11  3.11096097e-12
 -2.91367313e-24  2.06946185e-16  2.37630615e-23]"
0,13.0,"[0.01453576 0.02236704 0.01861103 0.04561674 0.06597431 0.08353365
 0.030311   0.0295598  0.65193059 0.0375601  0.01923077 0.0238131
 0.01923077 0.04131611 0.06911058 0.107497   0.03140024 0.03335337
 0.61433293 0.04071514 0.01923077 0.02433894 0.01382212 0.05408654
 0.0766226  0.16346154 0.02704327 0.04026442 0.54417067 0.03695913]","[ 7.12333384e-04  2.06851398e-08  4.92690496e-11  4.05010575e-12
 -5.58952856e-23 -5.82425627e-16  1.22033827e-23]"
0,23.0,"[0.00751202 0.02026367 0.01263897 0.05451848 0.09949669 0.16124549
 0.04510968 0.03870568 0.52355018 0.03695913 0.01502404 0.02599159
 0.01802885 0.06047175 0.10712139 0.15482272 0.04492188 0.04514724
 0.47220553 0.05626502 0.0171274  0.02433894 0.02133413 0.06310096
 0.13191106 0.20042067 0.03665865 0.04387019 0.41015625 0.05108173]","[ 6.80179547e-04  3.69424586e-08  7.11756562e-12  8.27143867e-13
 -3.63761029e-26 -4.78367422e-17 -2.00662386e-24]"
0,9.0,"[0.01513672 0.03440505 0.02790715 0.07851938 0.1309345  0.14453125
 0.05295974 0.04251803 0.42076698 0.05232121 0.03395433 0.04807692
 0.0327524  0.06475361 0.09517728 0.14423077 0.0472506  0.05791767
 0.39475661 0.08112981 0.04417067 0.04957933 0.02884615 0.07151442
 0.07902644 0.18990385 0.04236779 0.07421875 0.33173077 0.08864183]","[ 6.70318091e-04  5.82542583e-09  9.74224135e-12  9.07107536e-13
 -2.19772308e-24 -4.56004276e-17  1.56259425e-24]"
0,24.0,"[0.01573768 0.0464994  0.022029   0.09528996 0.17974384 0.22521034
 0.08428486 0.06479117 0.19726562 0.06914814 0.03140024 0.05070613
 0.0398137  0.10329026 0.19073017 0.18967849 0.07835036 0.05934495
 0.16286058 0.09382512 0.02433894 0.04356971 0.04897837 0.12049279
 0.24098558 0.20853365 0.0531851  0.05138221 0.12019231 0.08834135]","[ 9.40278421e-04  5.48340643e-09  7.78093944e-12  4.09454550e-11
 -4.64341998e-22 -2.97741333e-15  5.64375032e-22]"
0,16.0,"[0.0318134  0.05866887 0.05292218 0.12173227 0.18173453 0.15602464
 0.0785945  0.06373948 0.16740535 0.08736478 0.06204928 0.06911058
 0.05716647 0.09457632 0.12905649 0.13641827 0.07166466 0.0788762
 0.16977163 0.1313101  0.07932692 0.06730769 0.05889423 0.08323317
 0.10757212 0.1655649  0.07301683 0.08052885 0.14122596 0.14332933]","[ 9.09487010e-04  4.33858974e-09  1.56561908e-12  3.69546171e-11
 -1.69888861e-23 -1.56837447e-15 -2.80576597e-22]"
0,31.0,"[0.01727764 0.04711914 0.03004808 0.08682016 0.12190129 0.16372446
 0.07121394 0.05870643 0.32245343 0.08073543 0.04169171 0.0561899
 0.04319411 0.06896034 0.09953425 0.14190204 0.06340144 0.06603065
 0.30889423 0.11020132 0.04507212 0.046875   0.04417067 0.08353365
 0.12620192 0.18359375 0.05649038 0.06640625 0.2484976  0.09915865]","[6.59905377e-04 8.31189519e-09 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
